phrase_id,text,audio_file,duration_seconds,review_status,voice_binding
db7992e9-09ee-571d-a58d-2763f9c86ef8,先靠好，什么都不用做。,dw_ref_vox_hair_wash_phrase_01_oneshot_sc_hair_center_v02_t01.wav,4.1,qc_pending,reference_recording_pending
e885866d-dcf8-5f9a-afe0-5c50eb35b7b0,今天就慢一点。,dw_ref_vox_hair_wash_phrase_02_oneshot_sc_hair_center_v02_t01.wav,2.6,qc_pending,reference_recording_pending
79408d0c-803b-5a39-9cab-9d79ed0f2955,水温已经调好了。,dw_ref_vox_hair_wash_phrase_03_oneshot_sc_hair_center_v02_t01.wav,2.95,qc_pending,reference_recording_pending
abdaa2d3-24af-59d6-bd31-cbc2dd8cafdb,如果愿意，就慢慢靠近一点。,dw_ref_vox_hair_wash_phrase_04_oneshot_sc_hair_center_v02_t01.wav,4.55,qc_pending,reference_recording_pending
a8366bf7-0066-5c34-a834-9fcfaa78ce79,温水从发顶慢慢落下来。,dw_ref_vox_hair_wash_phrase_05_oneshot_sc_hair_center_v02_t01.wav,4.15,qc_pending,reference_recording_pending
cfbbb5de-5000-5bcf-8b07-0a91a56d7897,头发慢慢变重，也慢慢放松。,dw_ref_vox_hair_wash_phrase_06_oneshot_sc_hair_center_v02_t01.wav,4.4,qc_pending,reference_recording_pending
36d32f8b-819d-59e4-a5e1-7b449ea9ddd8,取一点点，轻轻揉开。,dw_ref_vox_hair_wash_phrase_07_oneshot_sc_hair_center_v02_t01.wav,4.15,qc_pending,reference_recording_pending
ca854343-dcbe-5f8e-b8d5-254d5ebedb90,先不用用力，让泡沫自己铺开。,dw_ref_vox_hair_wash_phrase_08_oneshot_sc_hair_center_v02_t01.wav,3.05,qc_pending,reference_recording_pending
53776273-34af-5dce-987b-8eb54e1356e3,这里慢一点，放松就好。,dw_ref_vox_hair_wash_phrase_09_oneshot_sc_hair_center_v02_t01.wav,4.05,qc_pending,reference_recording_pending
7500e516-4276-56e7-a677-0d298d32dc41,从发顶开始，轻轻按一按。,dw_ref_vox_hair_wash_phrase_10_oneshot_sc_hair_center_v02_t01.wav,3.7,qc_pending,reference_recording_pending
939e2dab-bf33-5e4e-b9c4-c69653370575,耳边这里，也慢慢放松下来。,dw_ref_vox_hair_wash_phrase_11_oneshot_sc_hair_center_v02_t01.wav,3.95,qc_pending,reference_recording_pending
4e794042-b210-5757-b48f-a383850516ac,泡沫会被温水慢慢带走。,dw_ref_vox_hair_wash_phrase_12_oneshot_sc_hair_center_v02_t01.wav,3.65,qc_pending,reference_recording_pending
3116716b-e34c-5ad3-b1b6-7cb189794a03,剩下的泡沫，也一起带走。,dw_ref_vox_hair_wash_phrase_13_oneshot_sc_hair_center_v02_t01.wav,3.98,qc_pending,reference_recording_pending
abe53721-2d36-5f66-bd09-d5e47d56fd4a,已经很干净了，慢慢就好。,dw_ref_vox_hair_wash_phrase_14_oneshot_sc_hair_center_v02_t01.wav,3.87,qc_pending,reference_recording_pending
0c823bd5-a6c9-50b5-b8e1-00b62c728804,用柔软的毛巾，轻轻按一按。,dw_ref_vox_hair_wash_phrase_15_oneshot_sc_hair_center_v02_t01.wav,3.88,qc_pending,reference_recording_pending
9ca14def-f509-58f4-ac8a-64e59207bc47,不是擦，只是轻轻按住。,dw_ref_vox_hair_wash_phrase_16_oneshot_sc_hair_center_v02_t01.wav,4.15,qc_pending,reference_recording_pending
41770d80-54d3-505c-9c93-ba97d3933a6f,现在只剩下很轻的按压。,dw_ref_vox_hair_wash_phrase_17_oneshot_sc_hair_center_v02_t01.wav,3.7,qc_pending,reference_recording_pending
cb4828f2-a1fe-53d0-a4ba-972b64fc0b1c,你不用再做什么了。,dw_ref_vox_hair_wash_phrase_18_oneshot_sc_hair_center_v02_t01.wav,2.32,qc_pending,reference_recording_pending
5118a93b-8649-5218-b807-7eb80b982e9e,就这样安静躺一会儿。,dw_ref_vox_hair_wash_phrase_19_oneshot_sc_hair_center_v02_t01.wav,3.3,qc_pending,reference_recording_pending
935a66ad-554c-53b2-b715-096af1c12186,剩下的时间，安心休息。,dw_ref_vox_hair_wash_phrase_20_oneshot_sc_hair_center_v02_t01.wav,7.55,qc_pending,reference_recording_pending
